tier,league,team_name,website
MLB Partner,Frontier League,Windy City ThunderBolts,https://www.wcthunderbolts.com
MLB Partner,Atlantic League,Charleston Dirty Birds,https://www.charlestonwvbaseball.com
MLB Partner,Atlantic League,Gastonia Ghost Peppers,https://www.ghostpeppersbaseball.com
MLB Partner,Atlantic League,Hagerstown Flying Boxcars,https://www.flyingboxcars.com
MLB Partner,Atlantic League,High Point Rockers,https://www.highpointrockers.com
MLB Partner,Atlantic League,Lancaster Stormers,https://www.lancasterstormers.com
MLB Partner,Atlantic League,Lexington Legends,https://www.lexingtonlegends.com
MLB Partner,Atlantic League,Long Island Ducks,https://www.liducks.com
MLB Partner,Atlantic League,Southern Maryland Blue Crabs,https://www.somdbluecrabs.com
MLB Partner,Atlantic League,Staten Island Ferry Hawks,https://www.ferryhawks.com
MLB Partner,Atlantic League,York Revolution,https://www.yorkrevolution.com
MLB Partner,American Association,Chicago Dogs,https://www.thechicagodogs.com
MLB Partner,American Association,Cleburne Railroaders,https://www.railroaders.net
MLB Partner,American Association,Fargo-Moorhead RedHawks,https://www.fmredhawks.com
MLB Partner,American Association,Gary SouthShore RailCats,https://www.railcatsbaseball.com
MLB Partner,American Association,Kane County Cougars,https://www.kccougars.com
MLB Partner,American Association,Kansas City Monarchs,https://www.monarchsbaseball.com
MLB Partner,American Association,Lake Country DockHounds,https://www.dockhoundsbaseball.com
MLB Partner,American Association,Lincoln Saltdogs,https://www.saltdogs.com
MLB Partner,American Association,Milwaukee Milkmen,https://www.milwaukeemilkmen.com
MLB Partner,American Association,Sioux City Explorers,https://www.xsbaseball.com
MLB Partner,American Association,Sioux Falls Canaries,https://www.sfcanaries.com
MLB Partner,American Association,Winnipeg Goldeyes,https://www.goldeyes.com
MLB Partner,Pioneer League,Billings Mustangs,https://www.billingsmustangs.com
MLB Partner,Pioneer League,Boise Hawks,https://www.boisehawks.com
MLB Partner,Pioneer League,Colorado Springs Sky Sox,https://www.skysox.com
MLB Partner,Pioneer League,Grand Junction Jackalopes,https://www.gjjackalopes.com
MLB Partner,Pioneer League,Great Falls Voyagers,https://www.gfvoyagers.com
MLB Partner,Pioneer League,Idaho Falls Chukars,https://www.ifchukars.com
MLB Partner,Pioneer League,Missoula PaddleHeads,https://www.gopaddleheads.com
MLB Partner,Pioneer League,Northern Colorado Owlz,https://www.ncowlz.com
MLB Partner,Pioneer League,Ogden Raptors,https://www.ogdenraptors.com
MLB Partner,Pioneer League,Rocky Mountain Vibes,https://www.vibesbaseball.com
MLB Partner,Pioneer League,Glacier Range Riders,https://www.glacierrangeriders.com
Independent,Pecos League,Alpine Cowboys,https://www.alpinecowboys.com
Independent,Pecos League,Bakersfield Train Robbers,https://www.pecosleague.com
Independent,Pecos League,Blackwell FlyCatchers,https://www.pecosleague.com
Independent,Pecos League,Dublin Leprechauns,https://www.pecosleague.com
Independent,Pecos League,Garden City Wind,https://www.pecosleague.com
Independent,Pecos League,Kansas City Hormigas,https://www.pecosleague.com
Independent,Pecos League,Martinez Sturgeon,https://www.pecosleague.com
Independent,Pecos League,Monterey Amberjacks,https://www.pecosleague.com
Independent,Pecos League,North Platte 80s,https://www.pecosleague.com
Independent,Pecos League,Pecos Bills,https://www.pecosleague.com
Independent,Pecos League,Roswell Invaders,https://www.roswellinvaders.com
Independent,Pecos League,San Rafael Pacifics,https://www.pecosleague.com
Independent,Pecos League,Santa Fe Fuego,https://www.santafefuego.com
Independent,Pecos League,Santa Rosa Scuba Divers,https://www.pecosleague.com
Independent,Pecos League,Trinidad Triggers,https://www.pecosleague.com
Independent,Pecos League,Tucson Saguaros,https://www.tucsonsaguaros.com
Independent,Empire League,Elmira Pioneers,http://empireproleague.com
Independent,Empire League,Oneonta Outlaws,http://empireproleague.com
Independent,Empire League,Utica Blue Sox,http://empireproleague.com
Independent,Empire League,Watertown Bucks,http://empireproleague.com
Independent,USPBL,Birmingham Bloomfield Beavers,https://www.uspbl.com/beavers
Independent,USPBL,Eastside Diamond Hoppers,https://www.uspbl.com/hoppers
Independent,USPBL,Utica Unicorns,https://www.uspbl.com/unicorns
Independent,USPBL,Westside Woolly Mammoths,https://www.uspbl.com/mammoths
MLB,American League,Baltimore Orioles,https://www.mlb.com/orioles
MLB,American League,Boston Red Sox,https://www.mlb.com/redsox
MLB,American League,New York Yankees,https://www.mlb.com/yankees
MLB,American League,Tampa Bay Rays,https://www.mlb.com/rays
MLB,American League,Toronto Blue Jays,https://www.mlb.com/bluejays
MLB,American League,Chicago White Sox,https://www.mlb.com/whitesox
MLB,American League,Cleveland Guardians,https://www.mlb.com/guardians
MLB,American League,Detroit Tigers,https://www.mlb.com/tigers
MLB,American League,Kansas City Royals,https://www.mlb.com/royals
MLB,American League,Minnesota Twins,https://www.mlb.com/twins
MLB,American League,Houston Astros,https://www.mlb.com/astros
MLB,American League,Los Angeles Angels,https://www.mlb.com/angels
MLB,American League,Oakland Athletics,https://www.mlb.com/athletics
MLB,American League,Seattle Mariners,https://www.mlb.com/mariners
MLB,American League,Texas Rangers,https://www.mlb.com/rangers
MLB,National League,Atlanta Braves,https://www.mlb.com/braves
MLB,National League,Miami Marlins,https://www.mlb.com/marlins
MLB,National League,New York Mets,https://www.mlb.com/mets
MLB,National League,Philadelphia Phillies,https://www.mlb.com/phillies
MLB,National League,Washington Nationals,https://www.mlb.com/nationals
MLB,National League,Chicago Cubs,https://www.mlb.com/cubs
MLB,National League,Cincinnati Reds,https://www.mlb.com/reds
MLB,National League,Milwaukee Brewers,https://www.mlb.com/brewers
MLB,National League,Pittsburgh Pirates,https://www.mlb.com/pirates
MLB,National League,St. Louis Cardinals,https://www.mlb.com/cardinals
MLB,National League,Arizona Diamondbacks,https://www.mlb.com/dbacks
MLB,National League,Colorado Rockies,https://www.mlb.com/rockies
MLB,National League,Los Angeles Dodgers,https://www.mlb.com/dodgers
MLB,National League,San Diego Padres,https://www.mlb.com/padres
MLB,National League,San Francisco Giants,https://www.mlb.com/giants
